k,rho,method,Better,Worse,Power,FP,Better2,Worse2,Power2,FDR2,mean_mBIC,sd_mBIC,sem_mBIC,mean_mBIC2,sd_mBIC2,sem_mBIC2,Runtime
0,0.0,stepwise_plain,0,0,0.0,0.028,0,0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.3531156315803528
0,0.0,stepwise_reduced,0,0,0.0,0.028,0,0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.13589553594589232
0,0.0,stepwise_ff,0,1,0.0,0.032,1,2,0.0,0.034,0.0005104708089808856,0.011414474294105678,0.0005104708089808844,0.00406166559397111,0.12699951710879098,0.005679591067298083,0.6291527128219605
0,0.0,L0opt_CD,0,0,0.0,0.028,1,0,0.0,0.03,0.0,0.0,0.0,-0.002551791953057766,0.05705980271474117,0.002551791953057766,0.19750259828567504
0,0.0,L0opt_CDPSI,0,0,0.0,0.028,1,0,0.0,0.03,0.0,0.0,0.0,-0.002551791953057766,0.05705980271474117,0.002551791953057766,2.0476473779678344
0,0.0,lassonet,0,0,0.0,0.028,1,0,0.0,0.03,-6.441958078085008e-15,4.456540690745834e-14,1.9930255858003104e-15,-0.0025517919530644467,0.057059802714743715,0.0025517919530578794,9.521003424167633
0,0.0,lassonet_plus,0,0,0.0,0.028,1,0,0.0,0.03,-6.441958078085008e-15,4.456540690745834e-14,1.9930255858003104e-15,-0.0025517919530644467,0.057059802714743715,0.0025517919530578794,10.534130935668946
0,0.0,deep2stage,0,14,0.0,0.002,0,14,0.0,0.0,0.0379749458072568,0.28459711707194446,0.012727569999466674,0.048242578192789154,0.43605177784129223,0.019500828339255316,11.027982549667358
0,0.5,stepwise_plain,0,0,0.0,0.026,0,0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.35869316482543945
0,0.5,stepwise_reduced,0,0,0.0,0.026,0,0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.12425556612014771
0,0.5,stepwise_ff,0,0,0.0,0.026,0,1,0.0,0.026,0.0,0.0,0.0,0.012032422196505207,0.26905313965362704,0.012032422196505086,0.6045453333854676
0,0.5,L0opt_CD,0,0,0.0,0.026,0,0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.20007287979125976
0,0.5,L0opt_CDPSI,0,0,0.0,0.026,0,0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,2.053659360408783
0,0.5,lassonet,0,0,0.0,0.026,0,0,0.0,0.024,-3.3315572522951696e-15,4.870012331727457e-14,2.1779357250009695e-15,-3.3315572522951696e-15,4.870012331727457e-14,2.1779357250009695e-15,9.787103941440582
0,0.5,lassonet_plus,0,0,0.0,0.026,0,0,0.0,0.024,-3.3315572522951696e-15,4.870012331727457e-14,2.1779357250009695e-15,-3.3315572522951696e-15,4.870012331727457e-14,2.1779357250009695e-15,10.638285614013672
0,0.5,deep2stage,0,12,0.0,0.0,0,12,0.0,0.0,0.04476307660503598,0.34109386758815713,0.015254181492708631,0.04753566532727576,0.3627114042839703,0.01622094712386732,10.719458715438844
0,0.8,stepwise_plain,0,0,0.0,0.022,0,0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.36187601804733277
