k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.028,0.028,0.032,0.028,0.028,0.028,0.028,0.002
0,0.5,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0
0,0.8,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.002
5,0.0,0.034,0.022,0.034,0.034,0.034,0.026,0.034,0.014
5,0.5,0.042,0.034,0.044,0.04,0.04,0.032,0.042,0.034
5,0.8,0.086,0.096,0.16,0.088,0.084,0.122,0.09,0.456
10,0.0,0.05,0.02,0.05,0.05,0.05,0.042,0.05,0.014
10,0.5,0.06,0.06,0.062,0.06,0.06,0.058,0.06,0.048
10,0.8,0.162,0.282,0.272,0.172,0.156,,0.15,0.826
20,0.0,0.06,0.022,0.06,0.06,0.06,0.094,0.06,0.024
20,0.5,0.058,0.236,0.06,0.06,0.062,0.176,0.064,0.026
20,0.8,0.364,0.85,0.49,0.426,0.364,1.604,0.37,1.274
40,0.0,0.082,0.026,0.082,0.082,0.082,0.444,0.078,0.048
40,0.5,0.148,0.534,0.15,0.156,0.146,1.142,0.164,0.1
40,0.8,0.696,2.026,0.736,1.148,0.736,6.55,0.7,2.06
