k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
5,0.0,0.8555999999999999,0.8423999999999999,0.8564,0.8564,0.8564,0.8544,0.8564,0.8352
5,0.5,0.8548,0.8352,0.8544,0.8548,0.8548,0.8532,0.8548,0.8192
5,0.8,0.8448,0.8231999999999999,0.8304,0.8444,0.8452,0.8215999999999999,0.8436,0.7647999999999999
10,0.0,0.8545999999999999,0.8092,0.8545999999999999,0.8550000000000001,0.8550000000000001,0.8512000000000001,0.8545999999999999,0.842
10,0.5,0.8550000000000001,0.8093999999999999,0.8545999999999999,0.8566,0.8566,0.8506,0.8562,0.8346
10,0.8,0.8394,0.7874,0.8286,0.8384,0.8396000000000001,,0.841,0.7702
20,0.0,0.8499000000000001,0.7462,0.8499000000000001,0.8502000000000001,0.8502000000000001,0.8394999999999999,0.8502000000000001,0.8371999999999999
20,0.5,0.8417999999999999,0.7346,0.8417,0.8423,0.8422000000000001,0.8246,0.842,0.8252
20,0.8,0.8352999999999999,0.7272000000000001,0.8288,0.8337,0.837,0.7602,0.8379,0.7674000000000001
40,0.0,0.84785,0.6538,0.84785,0.8486,0.8486,0.8150999999999999,0.84825,0.8323499999999999
40,0.5,0.8423999999999999,0.63355,0.8422499999999999,0.84365,0.84415,0.7939499999999999,0.84275,0.8204
40,0.8,0.8109500000000001,0.61005,0.8096500000000001,0.80695,0.8148,0.6895,0.7955,0.72765
