k,rho,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0
5,0.5,0.0,0.0,2.0,2.0,1.0,0.0,0.0
5,0.8,0.0,1.0,3.0,4.0,1.0,1.0,0.0
10,0.0,0.0,1.0,12.0,12.0,3.0,2.0,0.0
10,0.5,0.0,0.0,11.0,12.0,1.0,1.0,0.0
10,0.8,1.0,2.0,5.0,15.0,0.0,1.0,0.0
20,0.0,0.0,3.0,36.0,37.0,1.0,1.0,0.0
20,0.5,0.0,5.0,22.0,30.0,1.0,1.0,0.0
20,0.8,0.0,20.0,24.0,70.0,0.0,0.0,0.0
40,0.0,0.0,2.0,104.0,105.0,0.0,0.0,0.0
40,0.5,0.0,3.0,86.0,93.0,0.0,0.0,0.0
40,0.8,0.0,51.0,36.0,108.0,0.0,0.0,0.0
