k,rho,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0
0,0.8,0.0,2.0,0.0,0.0,0.0,0.0,11.0
5,0.0,36.0,0.0,0.0,0.0,11.0,0.0,500.0
5,0.5,49.0,1.0,1.0,1.0,11.0,0.0,499.0
5,0.8,57.0,44.0,5.0,3.0,111.0,5.0,500.0
10,0.0,188.0,0.0,0.0,0.0,45.0,0.0,500.0
10,0.5,189.0,3.0,0.0,0.0,53.0,0.0,500.0
10,0.8,213.0,73.0,14.0,11.0,280.0,6.0,500.0
20,0.0,437.0,0.0,0.0,0.0,137.0,0.0,500.0
20,0.5,440.0,2.0,1.0,1.0,219.0,3.0,500.0
20,0.8,448.0,80.0,66.0,45.0,481.0,43.0,499.0
40,0.0,500.0,0.0,3.0,3.0,426.0,11.0,500.0
40,0.5,500.0,2.0,18.0,17.0,477.0,22.0,500.0
40,0.8,499.0,61.0,268.0,160.0,499.0,284.0,500.0
