k,rho,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,12.0
0,0.8,0.0,2.0,0.0,0.0,0.0,0.0,11.0
5,0.0,85.0,0.0,0.0,0.0,45.0,45.0,500.0
5,0.5,88.0,7.0,0.0,0.0,57.0,61.0,499.0
5,0.8,87.0,51.0,12.0,10.0,168.0,160.0,500.0
10,0.0,274.0,5.0,0.0,0.0,152.0,152.0,500.0
10,0.5,273.0,3.0,5.0,5.0,167.0,158.0,500.0
10,0.8,282.0,82.0,31.0,21.0,375.0,360.0,500.0
20,0.0,478.0,0.0,1.0,1.0,385.0,383.0,500.0
20,0.5,478.0,6.0,19.0,18.0,396.0,395.0,500.0
20,0.8,474.0,77.0,111.0,84.0,498.0,495.0,500.0
40,0.0,500.0,0.0,28.0,28.0,497.0,497.0,500.0
40,0.5,500.0,5.0,97.0,93.0,499.0,497.0,500.0
40,0.8,500.0,83.0,364.0,250.0,500.0,500.0,500.0
