k,rho,stepwise_plain,stepwise_reduced,stepwise_ff,L0opt_CD,L0opt_CDPSI,lassonet,lassonet_plus,deep2stage
0,0.0,0.0,0.0,0.0005104708089808844,0.0,0.0,1.9930255858003104e-15,1.9930255858003104e-15,0.012727569999466674
0,0.5,0.0,0.0,0.0,0.0,0.0,2.1779357250009695e-15,2.1779357250009695e-15,0.015254181492708631
0,0.8,0.0,0.0,0.003098904579529888,0.0,0.0,2.079095956585108e-15,2.079095956585108e-15,0.013379282127847307
5,0.0,0.0,0.18080484628255586,0.0019375598108189811,0.00193755981081898,0.00193755981081898,0.01620072662718503,0.0019375598108189792,0.1240716808618068
5,0.5,0.0,0.3255863783794435,0.005210069464255648,0.00017533063971790605,0.00017533063971790605,0.01383290776668123,2.7355930277832592e-15,0.22007520421243035
5,0.8,0.0,0.49430138978361476,0.12305582417673547,0.04470534479599755,0.04306828906822445,0.20043925266478987,0.0061697744279509475,0.7529286737896138
10,0.0,0.0,1.0278866058011897,2.6255968588234097e-15,0.003405203599320871,0.003405203599320871,0.041588681001120016,3.8556911660838735e-15,0.148678020873383
10,0.5,0.0,1.192443948577507,0.02474078260461286,0.02944820268064962,0.02944820268064962,0.07920403857878255,0.029358132619076736,0.27087929475639827
10,0.8,0.0,1.4007987822116883,0.16248896357443326,0.04434878538809605,0.04215200138368281,,0.030233721466358107,1.0230116124582436
20,0.0,0.0,3.2139281861633417,4.8199505002857945e-15,0.005392690474332969,0.005392690474332969,0.15768421335795185,0.005392690474332968,0.21464252082928664
20,0.5,0.0,3.246640494659747,0.00931695637506978,0.021687443359952183,0.021813203044835992,0.2832157735232349,0.006749049889190533,0.23846288067935545
20,0.8,0.0,3.453552133292336,0.3325733898086098,0.29817768072603784,0.3078192672288468,1.5396201153191362,0.2714217716308653,1.3970845174032658
40,0.0,0.0,5.415192198261464,6.402035098118628e-15,0.0076172747917091195,0.0076172747917091195,0.648484699465347,0.025493486246950386,0.31505810294294884
40,0.5,0.0,5.449460066325594,0.028970272466102013,0.02805859614343867,0.031786886431255344,1.1174942535129007,0.02796513221906371,0.38372859668811643
40,0.8,0.0,5.326379998170965,0.24874218360974548,0.6524065446557984,0.547768409397633,3.2990492691019915,0.8323426197077165,2.236675233009798
