k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,01;0,03
0;0,50;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,00;0,03
0;0,80;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,00;0,02
5;0,00;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,03;0,03
5;0,50;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,04;0,04
5;0,80;0,09;0,10;0,12;0,09;0,08;0,12;0,09;0,52;0,09
10;0,00;0,05;0,02;0,05;0,05;0,05;0,04;0,05;0,05;0,05
10;0,50;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,08;0,06
10;0,80;0,16;0,28;0,22;0,17;0,16;0,41;0,15;1,00;0,16
20;0,00;0,06;0,02;0,07;0,06;0,06;0,09;0,06;0,07;0,06
20;0,50;0,06;0,24;0,07;0,06;0,06;0,17;0,06;0,08;0,06
20;0,80;0,36;0,85;0,61;0,43;0,36;1,62;0,37;1,62;0,36
40;0,00;0,08;0,03;0,09;0,08;0,08;0,46;0,08;0,10;0,08
40;0,50;0,15;0,53;0,16;0,16;0,15;1,16;0,16;0,19;0,15
40;0,80;0,70;2,03;1,13;1,15;0,74;6,55;0,70;2,69;0,68
