k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,26;0,10;0,59;0,14;1,41;6,37;10,68;1,73;2,69
0;0,50;0,29;0,12;0,71;0,20;2,04;6,51;10,28;3,04;4,11
0;0,80;0,29;0,11;0,61;0,21;2,46;6,71;10,66;3,32;4,33
5;0,00;1,49;0,30;0,71;0,17;1,64;7,18;13,92;1,75;4,63
5;0,50;1,34;0,28;0,62;0,15;1,47;7,67;13,64;1,67;4,24
5;0,80;1,53;0,40;0,75;0,23;2,49;7,46;13,74;2,06;5,93
10;0,00;2,55;0,45;0,72;0,16;1,51;6,87;16,42;27,09;27,54
10;0,50;3,14;0,64;0,99;0,23;2,15;6,89;16,39;2,25;9,03
10;0,80;3,04;0,76;0,97;0,24;2,51;6,84;16,37;1,83;8,60
20;0,00;7,17;1,09;1,49;0,25;2,29;7,15;18,20;2,10;10,86
20;0,50;6,69;1,22;1,53;0,25;2,29;9,14;18,17;1,83;10,31
20;0,80;6,73;1,71;1,99;0,26;2,61;8,89;18,26;1,70;10,56
40;0,00;18,61;2,28;4,21;0,29;2,57;7,66;23,06;1,77;13,76
40;0,50;18,77;2,79;5,30;0,29;2,56;7,44;23,09;2,09;15,16
40;0,80;18,91;4,44;9,94;0,31;2,83;6,84;25,04;1,73;15,24
