k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,01;0,03
0;0,50;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,00;0,02
0;0,80;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,00;0,02
5;0,00;0,04;0,03;0,05;0,05;0,05;0,04;0,05;0,03;0,05
5;0,50;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,02;0,04
5;0,80;0,05;0,04;0,06;0,05;0,05;0,04;0,05;0,11;0,05
10;0,00;0,05;0,02;0,06;0,06;0,06;0,04;0,05;0,04;0,06
10;0,50;0,04;0,02;0,05;0,05;0,05;0,03;0,04;0,03;0,04
10;0,80;0,05;0,06;0,07;0,06;0,06;0,06;0,05;0,13;0,06
20;0,00;0,06;0,02;0,07;0,06;0,06;0,03;0,06;0,04;0,06
20;0,50;0,05;0,04;0,06;0,06;0,06;0,03;0,05;0,04;0,05
20;0,80;0,06;0,09;0,08;0,07;0,06;0,12;0,07;0,13;0,07
40;0,00;0,07;0,01;0,08;0,09;0,09;0,04;0,06;0,04;0,07
40;0,50;0,07;0,06;0,07;0,08;0,08;0,06;0,06;0,04;0,07
40;0,80;0,08;0,13;0,10;0,10;0,09;0,24;0,06;0,15;0,08
