k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;0,00;0,00;0,00;0,00;-0,00;-0,00;0,03;-0,00
0;0,50;0,00;0,00;0,00;0,00;0,00;-0,00;-0,00;0,04;-0,00
0;0,80;0,00;0,00;0,01;0,00;0,00;0,00;-0,00;0,03;-0,00
5;0,00;0,00;0,79;-0,00;-0,00;-0,00;0,04;-0,00;0,44;-0,00
5;0,50;0,00;1,59;0,01;0,00;0,00;0,03;-0,00;1,46;-0,00
5;0,80;0,00;2,20;0,10;-0,00;-0,02;1,71;0,01;12,71;-0,02
10;0,00;0,00;10,78;-0,00;-0,00;-0,00;0,21;-0,00;0,15;-0,00
10;0,50;0,00;11,66;-0,01;-0,04;-0,04;0,38;-0,03;1,41;-0,02
10;0,80;0,00;14,72;0,55;0,13;0,01;9,42;-0,05;23,01;-0,04
20;0,00;0,00;73,32;0,01;-0,01;-0,01;1,46;-0,01;0,25;-0,01
20;0,50;0,00;76,26;0,02;-0,02;-0,02;3,41;0,00;1,02;-0,02
20;0,80;0,00;80,87;1,56;0,31;-0,42;45,89;-0,21;38,43;-0,58
40;0,00;0,00;273,31;0,02;-0,01;-0,01;15,52;0,04;1,44;0,01
40;0,50;0,00;295,99;0,10;0,00;-0,03;34,24;0,06;3,99;0,01
40;0,80;0,00;271,50;3,34;4,43;-0,92;189,86;8,25;76,51;-0,78
