k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;0,00;0,00;-0,00;-0,00;-0,00;-0,00;0,03;-0,00
0;0,50;0,00;0,00;0,04;0,00;0,00;-0,00;-0,00;0,04;-0,00
0;0,80;0,00;0,00;0,04;0,00;0,00;0,00;-0,00;0,03;-0,00
5;0,00;0,00;1,16;0,06;-0,00;-0,00;0,14;-0,00;0,74;-0,00
5;0,50;0,00;2,05;0,02;-0,00;-0,00;0,17;0,00;1,96;-0,00
5;0,80;0,00;2,62;0,29;0,04;0,03;2,06;0,01;12,23;0,04
10;0,00;0,00;13,60;0,04;-0,03;-0,03;0,72;-0,00;0,67;-0,00
10;0,50;0,00;14,37;0,03;-0,03;-0,03;1,00;0,01;2,24;-0,01
10;0,80;0,00;16,79;0,85;0,20;0,07;10,40;0,04;21,41;0,04
20;0,00;0,00;87,70;0,02;-0,07;-0,07;4,14;-0,00;1,46;-0,01
20;0,50;0,00;89,04;0,19;0,01;-0,04;6,10;-0,00;2,63;-0,00
20;0,80;0,00;91,53;2,04;1,07;0,23;47,37;0,22;37,42;0,04
40;0,00;0,00;334,79;0,04;-0,28;-0,29;28,25;0,54;7,08;0,05
40;0,50;0,00;355,28;0,35;-0,01;-0,07;45,44;0,98;10,49;0,04
40;0,80;0,00;320,85;3,91;6,07;1,08;181,46;11,04;81,58;2,15
