k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
5;0,00;0,86;0,84;0,86;0,86;0,86;0,85;0,86;0,84;0,86
5;0,50;0,85;0,84;0,85;0,85;0,85;0,85;0,85;0,83;0,85
5;0,80;0,84;0,82;0,84;0,84;0,85;0,82;0,84;0,77;0,85
10;0,00;0,85;0,81;0,86;0,86;0,86;0,85;0,85;0,85;0,86
10;0,50;0,86;0,81;0,86;0,86;0,86;0,85;0,86;0,84;0,86
10;0,80;0,84;0,79;0,83;0,84;0,84;0,80;0,84;0,78;0,84
20;0,00;0,85;0,75;0,85;0,85;0,85;0,84;0,85;0,85;0,85
20;0,50;0,84;0,73;0,84;0,84;0,84;0,82;0,84;0,84;0,84
20;0,80;0,84;0,73;0,83;0,83;0,84;0,76;0,84;0,78;0,84
40;0,00;0,85;0,65;0,85;0,85;0,85;0,82;0,85;0,84;0,85
40;0,50;0,84;0,63;0,84;0,84;0,84;0,79;0,84;0,83;0,84
40;0,80;0,81;0,61;0,80;0,81;0,81;0,69;0,80;0,74;0,81
