k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
5;0,00;0,87;0,85;0,87;0,87;0,87;0,87;0,87;0,85;0,87
5;0,50;0,87;0,85;0,87;0,87;0,87;0,87;0,87;0,84;0,87
5;0,80;0,85;0,83;0,85;0,85;0,85;0,83;0,85;0,79;0,85
10;0,00;0,88;0,82;0,88;0,88;0,88;0,87;0,88;0,87;0,88
10;0,50;0,88;0,82;0,88;0,88;0,88;0,87;0,88;0,86;0,88
10;0,80;0,86;0,80;0,85;0,86;0,86;0,81;0,86;0,80;0,86
20;0,00;0,88;0,76;0,88;0,88;0,88;0,86;0,88;0,87;0,88
20;0,50;0,87;0,75;0,87;0,87;0,87;0,84;0,87;0,86;0,87
20;0,80;0,85;0,74;0,84;0,85;0,86;0,78;0,86;0,80;0,86
40;0,00;0,89;0,67;0,89;0,89;0,89;0,83;0,88;0,87;0,89
40;0,50;0,88;0,65;0,88;0,88;0,88;0,81;0,88;0,86;0,88
40;0,80;0,85;0,64;0,83;0,84;0,85;0,72;0,83;0,78;0,84
