k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
0;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00
0;0,80;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00
5;0,00;0,00;0,18;0,00;0,00;0,00;0,02;0,00;0,10;0,00
5;0,50;0,00;0,33;0,01;0,00;0,00;0,01;0,00;0,19;0,00
5;0,80;0,00;0,49;0,05;0,04;0,04;0,20;0,01;0,68;0,04
10;0,00;0,00;1,03;0,00;0,00;0,00;0,04;0,00;0,04;0,00
10;0,50;0,00;1,19;0,04;0,03;0,03;0,08;0,03;0,20;0,03
10;0,80;0,00;1,40;0,10;0,04;0,04;0,75;0,03;0,91;0,03
20;0,00;0,00;3,21;0,01;0,01;0,01;0,16;0,01;0,05;0,01
20;0,50;0,00;3,25;0,03;0,02;0,02;0,28;0,01;0,14;0,02
20;0,80;0,00;3,45;0,36;0,30;0,31;1,53;0,27;1,26;0,29
40;0,00;0,00;5,42;0,01;0,01;0,01;0,74;0,03;0,13;0,01
40;0,50;0,00;5,45;0,05;0,03;0,03;1,12;0,03;0,25;0,03
40;0,80;0,00;5,33;0,61;0,65;0,55;3,32;0,83;2,36;0,53
