k;rho;stepwise_plain;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,00
0;0,50;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,02;0,00
0;0,80;0,00;0,00;0,03;0,00;0,00;0,00;0,00;0,01;0,00
5;0,00;0,00;0,21;0,05;0,00;0,00;0,03;0,00;0,11;0,00
5;0,50;0,00;0,36;0,01;0,00;0,00;0,03;0,00;0,20;0,00
5;0,80;0,00;0,51;0,05;0,02;0,02;0,20;0,01;0,60;0,02
10;0,00;0,00;1,13;0,02;0,01;0,01;0,07;0,01;0,07;0,01
10;0,50;0,00;1,27;0,03;0,02;0,02;0,09;0,01;0,20;0,01
10;0,80;0,00;1,45;0,10;0,05;0,04;0,72;0,02;0,76;0,02
20;0,00;0,00;3,47;0,03;0,01;0,01;0,24;0,01;0,09;0,01
20;0,50;0,00;3,45;0,05;0,01;0,02;0,31;0,02;0,17;0,02
20;0,80;0,00;3,63;0,18;0,17;0,10;1,44;0,07;1,06;0,10
40;0,00;0,00;5,85;0,04;0,04;0,04;0,88;0,10;0,25;0,03
40;0,50;0,00;5,83;0,08;0,05;0,05;1,15;0,12;0,36;0,04
40;0,80;0,00;5,64;0,27;0,41;0,21;2,98;0,84;1,87;0,21
