k;rho;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0;0,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5;0,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00
5;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5;0,80;0,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00
10;0,00;0,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00
10;0,50;0,00;4,00;4,00;4,00;2,00;2,00;2,00;2,00
10;0,80;1,00;5,00;1,00;11,00;1,00;8,00;0,00;9,00
20;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00
20;0,50;0,00;5,00;2,00;3,00;1,00;3,00;2,00;3,00
20;0,80;0,00;25,00;13,00;41,00;1,00;33,00;5,00;40,00
40;0,00;0,00;2,00;6,00;6,00;0,00;2,00;0,00;1,00
40;0,50;0,00;12,00;11,00;15,00;0,00;6,00;3,00;10,00
40;0,80;0,00;52,00;41,00;89,00;0,00;58,00;8,00;89,00
