k;rho;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00
0;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0;0,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5;0,00;0,00;3,00;3,00;4,00;1,00;2,00;0,00;2,00
5;0,50;0,00;2,00;2,00;2,00;1,00;0,00;0,00;0,00
5;0,80;0,00;3,00;3,00;4,00;1,00;1,00;0,00;1,00
10;0,00;0,00;12,00;12,00;12,00;3,00;3,00;5,00;6,00
10;0,50;0,00;12,00;11,00;12,00;1,00;2,00;1,00;2,00
10;0,80;1,00;7,00;5,00;15,00;0,00;8,00;0,00;8,00
20;0,00;0,00;38,00;36,00;37,00;1,00;9,00;5,00;11,00
20;0,50;0,00;26,00;22,00;30,00;1,00;17,00;3,00;14,00
20;0,80;0,00;32,00;24,00;70,00;0,00;46,00;2,00;53,00
40;0,00;0,00;40,00;104,00;105,00;0,00;11,00;2,00;32,00
40;0,50;0,00;49,00;86,00;93,00;0,00;31,00;1,00;54,00
40;0,80;0,00;44,00;36,00;108,00;0,00;38,00;0,00;73,00
