k;rho;stepwise_reduced;stepwise_ff;L0opt_CD;L0opt_CDPSI;lassonet;lassonet_plus;deep2stage;deep2stage_plus
0;0,00;0,00;1,00;0,00;0,00;0,00;0,00;11,00;0,00
0;0,50;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00
0;0,80;0,00;1,00;0,00;0,00;0,00;0,00;9,00;0,00
5;0,00;36,00;0,00;0,00;0,00;10,00;0,00;43,00;0,00
5;0,50;49,00;2,00;1,00;1,00;11,00;0,00;93,00;0,00
5;0,80;57,00;26,00;5,00;3,00;113,00;5,00;302,00;2,00
10;0,00;188,00;1,00;0,00;0,00;46,00;0,00;54,00;0,00
10;0,50;189,00;4,00;0,00;0,00;54,00;0,00;111,00;1,00
10;0,80;213,00;63,00;14,00;11,00;281,00;8,00;402,00;5,00
20;0,00;437,00;8,00;0,00;0,00;138,00;0,00;309,00;0,00
20;0,50;440,00;7,00;1,00;1,00;218,00;3,00;308,00;1,00
20;0,80;448,00;162,00;66,00;45,00;480,00;43,00;476,00;26,00
40;0,00;500,00;11,00;3,00;3,00;427,00;11,00;499,00;7,00
40;0,50;500,00;23,00;18,00;17,00;477,00;22,00;497,00;14,00
40;0,80;499,00;239,00;268,00;160,00;499,00;284,00;492,00;130,00
