rho;k;method;FP
0,00;0;stepwise_plain;0,03
0,00;0;stepwise_reduced;0,03
0,00;0;stepwise_ff;0,03
0,00;0;L0opt_CD;0,03
0,00;0;L0opt_CDPSI;0,03
0,00;0;lassonet;0,03
0,00;0;lassonet_plus;0,03
0,00;0;deep2stage;0,01
0,00;0;deep2stage_plus;0,03
0,00;5;stepwise_plain;0,03
0,00;5;stepwise_reduced;0,02
0,00;5;stepwise_ff;0,03
0,00;5;L0opt_CD;0,03
0,00;5;L0opt_CDPSI;0,03
0,00;5;lassonet;0,02
0,00;5;lassonet_plus;0,03
0,00;5;deep2stage;0,03
0,00;5;deep2stage_plus;0,03
0,00;10;stepwise_plain;0,05
0,00;10;stepwise_reduced;0,02
0,00;10;stepwise_ff;0,05
0,00;10;L0opt_CD;0,05
0,00;10;L0opt_CDPSI;0,05
0,00;10;lassonet;0,04
0,00;10;lassonet_plus;0,05
0,00;10;deep2stage;0,05
0,00;10;deep2stage_plus;0,05
0,00;20;stepwise_plain;0,06
0,00;20;stepwise_reduced;0,02
0,00;20;stepwise_ff;0,07
0,00;20;L0opt_CD;0,06
0,00;20;L0opt_CDPSI;0,06
0,00;20;lassonet;0,09
0,00;20;lassonet_plus;0,06
0,00;20;deep2stage;0,07
0,00;20;deep2stage_plus;0,06
0,00;40;stepwise_plain;0,08
0,00;40;stepwise_reduced;0,03
0,00;40;stepwise_ff;0,09
0,00;40;L0opt_CD;0,08
0,00;40;L0opt_CDPSI;0,08
0,00;40;lassonet;0,46
0,00;40;lassonet_plus;0,08
0,00;40;deep2stage;0,10
0,00;40;deep2stage_plus;0,08
0,50;0;stepwise_plain;0,03
0,50;0;stepwise_reduced;0,03
0,50;0;stepwise_ff;0,03
0,50;0;L0opt_CD;0,03
0,50;0;L0opt_CDPSI;0,03
0,50;0;lassonet;0,03
0,50;0;lassonet_plus;0,03
0,50;0;deep2stage;0,00
0,50;0;deep2stage_plus;0,03
0,50;5;stepwise_plain;0,04
0,50;5;stepwise_reduced;0,03
0,50;5;stepwise_ff;0,04
0,50;5;L0opt_CD;0,04
0,50;5;L0opt_CDPSI;0,04
0,50;5;lassonet;0,03
0,50;5;lassonet_plus;0,04
0,50;5;deep2stage;0,04
0,50;5;deep2stage_plus;0,04
0,50;10;stepwise_plain;0,06
0,50;10;stepwise_reduced;0,06
0,50;10;stepwise_ff;0,07
0,50;10;L0opt_CD;0,06
0,50;10;L0opt_CDPSI;0,06
0,50;10;lassonet;0,06
0,50;10;lassonet_plus;0,06
0,50;10;deep2stage;0,08
0,50;10;deep2stage_plus;0,06
0,50;20;stepwise_plain;0,06
0,50;20;stepwise_reduced;0,24
0,50;20;stepwise_ff;0,07
0,50;20;L0opt_CD;0,06
0,50;20;L0opt_CDPSI;0,06
0,50;20;lassonet;0,17
0,50;20;lassonet_plus;0,06
0,50;20;deep2stage;0,08
0,50;20;deep2stage_plus;0,06
0,50;40;stepwise_plain;0,15
0,50;40;stepwise_reduced;0,53
0,50;40;stepwise_ff;0,16
0,50;40;L0opt_CD;0,16
0,50;40;L0opt_CDPSI;0,15
0,50;40;lassonet;1,16
0,50;40;lassonet_plus;0,16
0,50;40;deep2stage;0,19
0,50;40;deep2stage_plus;0,15
0,80;0;stepwise_plain;0,02
0,80;0;stepwise_reduced;0,02
0,80;0;stepwise_ff;0,03
0,80;0;L0opt_CD;0,02
0,80;0;L0opt_CDPSI;0,02
0,80;0;lassonet;0,02
0,80;0;lassonet_plus;0,02
0,80;0;deep2stage;0,00
0,80;0;deep2stage_plus;0,02
0,80;5;stepwise_plain;0,09
0,80;5;stepwise_reduced;0,10
0,80;5;stepwise_ff;0,12
0,80;5;L0opt_CD;0,09
0,80;5;L0opt_CDPSI;0,08
0,80;5;lassonet;0,12
0,80;5;lassonet_plus;0,09
0,80;5;deep2stage;0,52
0,80;5;deep2stage_plus;0,09
0,80;10;stepwise_plain;0,16
0,80;10;stepwise_reduced;0,28
0,80;10;stepwise_ff;0,22
0,80;10;L0opt_CD;0,17
0,80;10;L0opt_CDPSI;0,16
0,80;10;lassonet;0,41
0,80;10;lassonet_plus;0,15
0,80;10;deep2stage;1,00
0,80;10;deep2stage_plus;0,16
0,80;20;stepwise_plain;0,36
0,80;20;stepwise_reduced;0,85
0,80;20;stepwise_ff;0,61
0,80;20;L0opt_CD;0,43
0,80;20;L0opt_CDPSI;0,36
0,80;20;lassonet;1,62
0,80;20;lassonet_plus;0,37
0,80;20;deep2stage;1,62
0,80;20;deep2stage_plus;0,36
0,80;40;stepwise_plain;0,70
0,80;40;stepwise_reduced;2,03
0,80;40;stepwise_ff;1,13
0,80;40;L0opt_CD;1,15
0,80;40;L0opt_CDPSI;0,74
0,80;40;lassonet;6,55
0,80;40;lassonet_plus;0,70
0,80;40;deep2stage;2,69
0,80;40;deep2stage_plus;0,68
