rho;k;method;Power2
0,00;5;stepwise_plain;0,87
0,00;5;stepwise_reduced;0,85
0,00;5;stepwise_ff;0,87
0,00;5;L0opt_CD;0,87
0,00;5;L0opt_CDPSI;0,87
0,00;5;lassonet;0,87
0,00;5;lassonet_plus;0,87
0,00;5;deep2stage;0,85
0,00;5;deep2stage_plus;0,87
0,00;10;stepwise_plain;0,88
0,00;10;stepwise_reduced;0,82
0,00;10;stepwise_ff;0,88
0,00;10;L0opt_CD;0,88
0,00;10;L0opt_CDPSI;0,88
0,00;10;lassonet;0,87
0,00;10;lassonet_plus;0,88
0,00;10;deep2stage;0,87
0,00;10;deep2stage_plus;0,88
0,00;20;stepwise_plain;0,88
0,00;20;stepwise_reduced;0,76
0,00;20;stepwise_ff;0,88
0,00;20;L0opt_CD;0,88
0,00;20;L0opt_CDPSI;0,88
0,00;20;lassonet;0,86
0,00;20;lassonet_plus;0,88
0,00;20;deep2stage;0,87
0,00;20;deep2stage_plus;0,88
0,00;40;stepwise_plain;0,89
0,00;40;stepwise_reduced;0,67
0,00;40;stepwise_ff;0,89
0,00;40;L0opt_CD;0,89
0,00;40;L0opt_CDPSI;0,89
0,00;40;lassonet;0,83
0,00;40;lassonet_plus;0,88
0,00;40;deep2stage;0,87
0,00;40;deep2stage_plus;0,89
0,50;5;stepwise_plain;0,87
0,50;5;stepwise_reduced;0,85
0,50;5;stepwise_ff;0,87
0,50;5;L0opt_CD;0,87
0,50;5;L0opt_CDPSI;0,87
0,50;5;lassonet;0,87
0,50;5;lassonet_plus;0,87
0,50;5;deep2stage;0,84
0,50;5;deep2stage_plus;0,87
0,50;10;stepwise_plain;0,88
0,50;10;stepwise_reduced;0,82
0,50;10;stepwise_ff;0,88
0,50;10;L0opt_CD;0,88
0,50;10;L0opt_CDPSI;0,88
0,50;10;lassonet;0,87
0,50;10;lassonet_plus;0,88
0,50;10;deep2stage;0,86
0,50;10;deep2stage_plus;0,88
0,50;20;stepwise_plain;0,87
0,50;20;stepwise_reduced;0,75
0,50;20;stepwise_ff;0,87
0,50;20;L0opt_CD;0,87
0,50;20;L0opt_CDPSI;0,87
0,50;20;lassonet;0,84
0,50;20;lassonet_plus;0,87
0,50;20;deep2stage;0,86
0,50;20;deep2stage_plus;0,87
0,50;40;stepwise_plain;0,88
0,50;40;stepwise_reduced;0,65
0,50;40;stepwise_ff;0,88
0,50;40;L0opt_CD;0,88
0,50;40;L0opt_CDPSI;0,88
0,50;40;lassonet;0,81
0,50;40;lassonet_plus;0,88
0,50;40;deep2stage;0,86
0,50;40;deep2stage_plus;0,88
0,80;5;stepwise_plain;0,85
0,80;5;stepwise_reduced;0,83
0,80;5;stepwise_ff;0,85
0,80;5;L0opt_CD;0,85
0,80;5;L0opt_CDPSI;0,85
0,80;5;lassonet;0,83
0,80;5;lassonet_plus;0,85
0,80;5;deep2stage;0,79
0,80;5;deep2stage_plus;0,85
0,80;10;stepwise_plain;0,86
0,80;10;stepwise_reduced;0,80
0,80;10;stepwise_ff;0,85
0,80;10;L0opt_CD;0,86
0,80;10;L0opt_CDPSI;0,86
0,80;10;lassonet;0,81
0,80;10;lassonet_plus;0,86
0,80;10;deep2stage;0,80
0,80;10;deep2stage_plus;0,86
0,80;20;stepwise_plain;0,85
0,80;20;stepwise_reduced;0,74
0,80;20;stepwise_ff;0,84
0,80;20;L0opt_CD;0,85
0,80;20;L0opt_CDPSI;0,86
0,80;20;lassonet;0,78
0,80;20;lassonet_plus;0,86
0,80;20;deep2stage;0,80
0,80;20;deep2stage_plus;0,86
0,80;40;stepwise_plain;0,85
0,80;40;stepwise_reduced;0,64
0,80;40;stepwise_ff;0,83
0,80;40;L0opt_CD;0,84
0,80;40;L0opt_CDPSI;0,85
0,80;40;lassonet;0,72
0,80;40;lassonet_plus;0,83
0,80;40;deep2stage;0,78
0,80;40;deep2stage_plus;0,84
