rho;k;method;Runtime
0,00;0;stepwise_plain;0,26
0,00;0;stepwise_reduced;0,10
0,00;0;stepwise_ff;0,59
0,00;0;L0opt_CD;0,14
0,00;0;L0opt_CDPSI;1,41
0,00;0;lassonet;6,37
0,00;0;lassonet_plus;10,68
0,00;0;deep2stage;1,73
0,00;0;deep2stage_plus;2,69
0,00;5;stepwise_plain;1,49
0,00;5;stepwise_reduced;0,30
0,00;5;stepwise_ff;0,71
0,00;5;L0opt_CD;0,17
0,00;5;L0opt_CDPSI;1,64
0,00;5;lassonet;7,18
0,00;5;lassonet_plus;13,92
0,00;5;deep2stage;1,75
0,00;5;deep2stage_plus;4,63
0,00;10;stepwise_plain;2,55
0,00;10;stepwise_reduced;0,45
0,00;10;stepwise_ff;0,72
0,00;10;L0opt_CD;0,16
0,00;10;L0opt_CDPSI;1,51
0,00;10;lassonet;6,87
0,00;10;lassonet_plus;16,42
0,00;10;deep2stage;27,09
0,00;10;deep2stage_plus;27,54
0,00;20;stepwise_plain;7,17
0,00;20;stepwise_reduced;1,09
0,00;20;stepwise_ff;1,49
0,00;20;L0opt_CD;0,25
0,00;20;L0opt_CDPSI;2,29
0,00;20;lassonet;7,15
0,00;20;lassonet_plus;18,20
0,00;20;deep2stage;2,10
0,00;20;deep2stage_plus;10,86
0,00;40;stepwise_plain;18,61
0,00;40;stepwise_reduced;2,28
0,00;40;stepwise_ff;4,21
0,00;40;L0opt_CD;0,29
0,00;40;L0opt_CDPSI;2,57
0,00;40;lassonet;7,66
0,00;40;lassonet_plus;23,06
0,00;40;deep2stage;1,77
0,00;40;deep2stage_plus;13,76
0,50;0;stepwise_plain;0,29
0,50;0;stepwise_reduced;0,12
0,50;0;stepwise_ff;0,71
0,50;0;L0opt_CD;0,20
0,50;0;L0opt_CDPSI;2,04
0,50;0;lassonet;6,51
0,50;0;lassonet_plus;10,28
0,50;0;deep2stage;3,04
0,50;0;deep2stage_plus;4,11
0,50;5;stepwise_plain;1,34
0,50;5;stepwise_reduced;0,28
0,50;5;stepwise_ff;0,62
0,50;5;L0opt_CD;0,15
0,50;5;L0opt_CDPSI;1,47
0,50;5;lassonet;7,67
0,50;5;lassonet_plus;13,64
0,50;5;deep2stage;1,67
0,50;5;deep2stage_plus;4,24
0,50;10;stepwise_plain;3,14
0,50;10;stepwise_reduced;0,64
0,50;10;stepwise_ff;0,99
0,50;10;L0opt_CD;0,23
0,50;10;L0opt_CDPSI;2,15
0,50;10;lassonet;6,89
0,50;10;lassonet_plus;16,39
0,50;10;deep2stage;2,25
0,50;10;deep2stage_plus;9,03
0,50;20;stepwise_plain;6,69
0,50;20;stepwise_reduced;1,22
0,50;20;stepwise_ff;1,53
0,50;20;L0opt_CD;0,25
0,50;20;L0opt_CDPSI;2,29
0,50;20;lassonet;9,14
0,50;20;lassonet_plus;18,17
0,50;20;deep2stage;1,83
0,50;20;deep2stage_plus;10,31
0,50;40;stepwise_plain;18,77
0,50;40;stepwise_reduced;2,79
0,50;40;stepwise_ff;5,30
0,50;40;L0opt_CD;0,29
0,50;40;L0opt_CDPSI;2,56
0,50;40;lassonet;7,44
0,50;40;lassonet_plus;23,09
0,50;40;deep2stage;2,09
0,50;40;deep2stage_plus;15,16
0,80;0;stepwise_plain;0,29
0,80;0;stepwise_reduced;0,11
0,80;0;stepwise_ff;0,61
0,80;0;L0opt_CD;0,21
0,80;0;L0opt_CDPSI;2,46
0,80;0;lassonet;6,71
0,80;0;lassonet_plus;10,66
0,80;0;deep2stage;3,32
0,80;0;deep2stage_plus;4,33
0,80;5;stepwise_plain;1,53
0,80;5;stepwise_reduced;0,40
0,80;5;stepwise_ff;0,75
0,80;5;L0opt_CD;0,23
0,80;5;L0opt_CDPSI;2,49
0,80;5;lassonet;7,46
0,80;5;lassonet_plus;13,74
0,80;5;deep2stage;2,06
0,80;5;deep2stage_plus;5,93
0,80;10;stepwise_plain;3,04
0,80;10;stepwise_reduced;0,76
0,80;10;stepwise_ff;0,97
0,80;10;L0opt_CD;0,24
0,80;10;L0opt_CDPSI;2,51
0,80;10;lassonet;6,84
0,80;10;lassonet_plus;16,37
0,80;10;deep2stage;1,83
0,80;10;deep2stage_plus;8,60
0,80;20;stepwise_plain;6,73
0,80;20;stepwise_reduced;1,71
0,80;20;stepwise_ff;1,99
0,80;20;L0opt_CD;0,26
0,80;20;L0opt_CDPSI;2,61
0,80;20;lassonet;8,89
0,80;20;lassonet_plus;18,26
0,80;20;deep2stage;1,70
0,80;20;deep2stage_plus;10,56
0,80;40;stepwise_plain;18,91
0,80;40;stepwise_reduced;4,44
0,80;40;stepwise_ff;9,94
0,80;40;L0opt_CD;0,31
0,80;40;L0opt_CDPSI;2,83
0,80;40;lassonet;6,84
0,80;40;lassonet_plus;25,04
0,80;40;deep2stage;1,73
0,80;40;deep2stage_plus;15,24
