rho;k;method;Worse2
0,00;0;stepwise_plain;0
0,00;0;stepwise_reduced;0
0,00;0;stepwise_ff;2
0,00;0;L0opt_CD;0
0,00;0;L0opt_CDPSI;0
0,00;0;lassonet;0
0,00;0;lassonet_plus;0
0,00;0;deep2stage;11
0,00;0;deep2stage_plus;0
0,00;5;stepwise_plain;0
0,00;5;stepwise_reduced;85
0,00;5;stepwise_ff;4
0,00;5;L0opt_CD;0
0,00;5;L0opt_CDPSI;0
0,00;5;lassonet;46
0,00;5;lassonet_plus;0
0,00;5;deep2stage;111
0,00;5;deep2stage_plus;0
0,00;10;stepwise_plain;0
0,00;10;stepwise_reduced;274
0,00;10;stepwise_ff;22
0,00;10;L0opt_CD;0
0,00;10;L0opt_CDPSI;0
0,00;10;lassonet;156
0,00;10;lassonet_plus;6
0,00;10;deep2stage;185
0,00;10;deep2stage_plus;6
0,00;20;stepwise_plain;0
0,00;20;stepwise_reduced;478
0,00;20;stepwise_ff;39
0,00;20;L0opt_CD;1
0,00;20;L0opt_CDPSI;1
0,00;20;lassonet;387
0,00;20;lassonet_plus;10
0,00;20;deep2stage;418
0,00;20;deep2stage_plus;12
0,00;40;stepwise_plain;0
0,00;40;stepwise_reduced;500
0,00;40;stepwise_ff;54
0,00;40;L0opt_CD;28
0,00;40;L0opt_CDPSI;28
0,00;40;lassonet;497
0,00;40;lassonet_plus;118
0,00;40;deep2stage;498
0,00;40;deep2stage_plus;62
0,50;0;stepwise_plain;0
0,50;0;stepwise_reduced;0
0,50;0;stepwise_ff;2
0,50;0;L0opt_CD;0
0,50;0;L0opt_CDPSI;0
0,50;0;lassonet;0
0,50;0;lassonet_plus;0
0,50;0;deep2stage;10
0,50;0;deep2stage_plus;0
0,50;5;stepwise_plain;0
0,50;5;stepwise_reduced;88
0,50;5;stepwise_ff;9
0,50;5;L0opt_CD;0
0,50;5;L0opt_CDPSI;0
0,50;5;lassonet;58
0,50;5;lassonet_plus;1
0,50;5;deep2stage;170
0,50;5;deep2stage_plus;0
0,50;10;stepwise_plain;0
0,50;10;stepwise_reduced;273
0,50;10;stepwise_ff;19
0,50;10;L0opt_CD;5
0,50;10;L0opt_CDPSI;5
0,50;10;lassonet;168
0,50;10;lassonet_plus;8
0,50;10;deep2stage;229
0,50;10;deep2stage_plus;4
0,50;20;stepwise_plain;0
0,50;20;stepwise_reduced;478
0,50;20;stepwise_ff;54
0,50;20;L0opt_CD;19
0,50;20;L0opt_CDPSI;18
0,50;20;lassonet;396
0,50;20;lassonet_plus;19
0,50;20;deep2stage;412
0,50;20;deep2stage_plus;16
0,50;40;stepwise_plain;0
0,50;40;stepwise_reduced;500
0,50;40;stepwise_ff;84
0,50;40;L0opt_CD;97
0,50;40;L0opt_CDPSI;93
0,50;40;lassonet;499
0,50;40;lassonet_plus;185
0,50;40;deep2stage;499
0,50;40;deep2stage_plus;89
0,80;0;stepwise_plain;0
0,80;0;stepwise_reduced;0
0,80;0;stepwise_ff;2
0,80;0;L0opt_CD;0
0,80;0;L0opt_CDPSI;0
0,80;0;lassonet;0
0,80;0;lassonet_plus;0
0,80;0;deep2stage;9
0,80;0;deep2stage_plus;0
0,80;5;stepwise_plain;0
0,80;5;stepwise_reduced;87
0,80;5;stepwise_ff;49
0,80;5;L0opt_CD;12
0,80;5;L0opt_CDPSI;10
0,80;5;lassonet;171
0,80;5;lassonet_plus;7
0,80;5;deep2stage;344
0,80;5;deep2stage_plus;10
0,80;10;stepwise_plain;0
0,80;10;stepwise_reduced;282
0,80;10;stepwise_ff;106
0,80;10;L0opt_CD;31
0,80;10;L0opt_CDPSI;21
0,80;10;lassonet;376
0,80;10;lassonet_plus;23
0,80;10;deep2stage;445
0,80;10;deep2stage_plus;20
0,80;20;stepwise_plain;0
0,80;20;stepwise_reduced;474
0,80;20;stepwise_ff;213
0,80;20;L0opt_CD;111
0,80;20;L0opt_CDPSI;84
0,80;20;lassonet;497
0,80;20;lassonet_plus;91
0,80;20;deep2stage;491
0,80;20;deep2stage_plus;74
0,80;40;stepwise_plain;0
0,80;40;stepwise_reduced;500
0,80;40;stepwise_ff;301
0,80;40;L0opt_CD;364
0,80;40;L0opt_CDPSI;250
0,80;40;lassonet;500
0,80;40;lassonet_plus;390
0,80;40;deep2stage;500
0,80;40;deep2stage_plus;285
