k,p,scenario,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,50000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1000,gamma,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10,1000,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2000,gamma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2000,normal,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10,5000,gamma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5000,normal,1.0,1.0,0.0,1.0,1.0,0.0,1.0
10,10000,gamma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10000,normal,2.0,2.0,0.0,2.0,2.0,0.0,1.0
20,1000,gamma,5.0,5.0,0.0,4.0,4.0,0.0,1.0
20,1000,normal,3.0,3.0,2.0,2.0,3.0,0.0,2.0
20,2000,gamma,2.0,2.0,1.0,1.0,1.0,0.0,1.0
20,2000,normal,2.0,2.0,1.0,1.0,2.0,0.0,1.0
20,5000,gamma,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20,5000,normal,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20,10000,gamma,3.0,3.0,1.0,3.0,3.0,0.0,0.0
20,10000,normal,1.0,1.0,0.0,0.0,1.0,0.0,0.0
