k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.02,0.43,0.43,0.02,0.02,0.02,0.01,0.02
0,2000,null,0.04,0.51,0.51,0.04,0.04,0.04,0.02,0.04
0,5000,null,0.01,0.59,0.59,0.01,0.01,0.01,0.0,0.01
0,10000,null,0.03,0.5,0.5,0.03,0.03,0.03,0.0,0.03
0,50000,null,0.03,0.54,0.54,0.03,0.03,0.03,0.0,0.03
10,1000,gamma,0.05,0.06,0.06,0.08,0.06,0.06,0.47,0.05
10,1000,normal,0.01,0.01,0.01,0.05,0.01,0.01,0.28,0.01
10,2000,gamma,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03
10,2000,normal,0.03,0.03,0.03,0.03,0.03,0.03,0.46,0.03
10,5000,gamma,0.05,0.05,0.05,0.09,0.06,0.05,1.89,0.05
10,5000,normal,0.01,0.02,0.02,0.05,0.01,0.01,1.86,0.01
10,10000,gamma,0.04,0.04,0.04,0.08,0.05,0.04,0.55,0.04
10,10000,normal,0.05,0.05,0.05,0.05,0.04,0.05,0.53,0.05
20,1000,gamma,0.0,0.0,0.0,0.02,0.0,0.0,0.29,0.0
20,1000,normal,0.05,0.05,0.05,0.05,0.03,0.05,0.27,0.05
20,2000,gamma,0.03,0.03,0.03,0.04,0.05,0.03,0.62,0.03
20,2000,normal,0.03,0.04,0.04,0.03,0.02,0.03,0.55,0.03
20,5000,gamma,0.04,0.04,0.04,0.05,0.03,0.04,0.77,0.04
20,5000,normal,0.03,0.04,0.04,0.03,0.04,0.04,1.17,0.04
20,10000,gamma,0.01,0.02,0.02,0.02,0.01,0.01,0.14,0.02
20,10000,normal,0.0,0.01,0.01,0.01,0.02,0.01,0.47,0.01
