k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
10,1000,gamma,0.604,0.607,0.607,0.592,0.605,0.606,0.492,0.606
10,1000,normal,0.5469999999999999,0.549,0.549,0.524,0.544,0.548,0.438,0.548
10,2000,gamma,0.5589999999999999,0.558,0.558,0.548,0.5549999999999999,0.5589999999999999,0.42699999999999994,0.5599999999999999
10,2000,normal,0.506,0.51,0.51,0.49000000000000005,0.509,0.508,0.375,0.506
10,5000,gamma,0.567,0.5690000000000001,0.568,0.545,0.5599999999999999,0.5690000000000001,0.217,0.5660000000000001
10,5000,normal,0.488,0.49000000000000005,0.49000000000000005,0.47400000000000003,0.49000000000000005,0.49000000000000005,0.21600000000000003,0.49000000000000005
10,10000,gamma,0.5589999999999999,0.564,0.564,0.536,0.558,0.5589999999999999,0.038,0.5589999999999999
10,10000,normal,0.481,0.493,0.493,0.461,0.48600000000000004,0.48600000000000004,0.051000000000000004,0.483
20,1000,gamma,0.34900000000000003,0.35950000000000004,0.3585,0.3445,0.3565,0.3565,0.257,0.35150000000000003
20,1000,normal,0.34550000000000003,0.34900000000000003,0.34900000000000003,0.3275,0.348,0.34950000000000003,0.262,0.348
20,2000,gamma,0.3265,0.33199999999999996,0.3315,0.321,0.335,0.329,0.219,0.3285
20,2000,normal,0.3145,0.3155,0.315,0.301,0.3155,0.317,0.2285,0.316
20,5000,gamma,0.2835,0.28700000000000003,0.286,0.27349999999999997,0.28700000000000003,0.28450000000000003,0.076,0.2835
20,5000,normal,0.3105,0.3125,0.311,0.3,0.313,0.311,0.09,0.3105
20,10000,gamma,0.27,0.272,0.2725,0.265,0.26949999999999996,0.27349999999999997,0.012,0.27
20,10000,normal,0.2745,0.2725,0.2725,0.272,0.275,0.275,0.02,0.27549999999999997
