k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
10,1000,gamma,0.663,0.661,0.663,0.636,0.6599999999999999,0.663,0.521,0.663
10,1000,normal,0.588,0.585,0.585,0.567,0.585,0.588,0.457,0.589
10,2000,gamma,0.614,0.618,0.618,0.5900000000000001,0.613,0.619,0.457,0.618
10,2000,normal,0.549,0.549,0.549,0.524,0.542,0.549,0.399,0.549
10,5000,gamma,0.636,0.638,0.637,0.591,0.631,0.636,0.24700000000000003,0.634
10,5000,normal,0.528,0.5269999999999999,0.5269999999999999,0.49400000000000005,0.5269999999999999,0.53,0.238,0.528
10,10000,gamma,0.619,0.624,0.624,0.579,0.615,0.622,0.059,0.62
10,10000,normal,0.525,0.522,0.522,0.487,0.524,0.528,0.064,0.5269999999999999
20,1000,gamma,0.4465,0.45199999999999996,0.4525,0.41150000000000003,0.44400000000000006,0.44800000000000006,0.3,0.44800000000000006
20,1000,normal,0.41600000000000004,0.4175,0.417,0.382,0.41,0.41600000000000004,0.29500000000000004,0.4165
20,2000,gamma,0.4175,0.4205,0.42300000000000004,0.375,0.40599999999999997,0.41900000000000004,0.246,0.418
20,2000,normal,0.384,0.3845,0.384,0.35350000000000004,0.378,0.385,0.251,0.3835
20,5000,gamma,0.353,0.357,0.35750000000000004,0.324,0.343,0.357,0.0995,0.3545
20,5000,normal,0.3635,0.3665,0.3655,0.3375,0.357,0.3655,0.10149999999999999,0.3635
20,10000,gamma,0.329,0.33799999999999997,0.3355,0.3085,0.324,0.331,0.013500000000000002,0.3295
20,10000,normal,0.3305,0.34049999999999997,0.341,0.304,0.33199999999999996,0.335,0.024,0.3345
