k,p,scenario,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,38.0,38.0,2.0,2.0,2.0,2.0,2.0
0,2000,null,43.0,43.0,4.0,4.0,4.0,4.0,4.0
0,5000,null,44.0,44.0,1.0,1.0,1.0,1.0,1.0
0,10000,null,44.0,44.0,3.0,3.0,3.0,3.0,3.0
0,50000,null,44.0,44.0,3.0,3.0,3.0,3.0,3.0
10,1000,gamma,4.0,4.0,25.0,99.0,99.0,100.0,100.0
10,1000,normal,4.0,4.0,29.0,100.0,100.0,100.0,100.0
10,2000,gamma,3.0,3.0,25.0,100.0,100.0,100.0,100.0
10,2000,normal,2.0,2.0,17.0,99.0,99.0,100.0,100.0
10,5000,gamma,7.0,8.0,39.0,100.0,100.0,100.0,100.0
10,5000,normal,7.0,7.0,19.0,99.0,99.0,100.0,99.0
10,10000,gamma,4.0,4.0,32.0,100.0,100.0,100.0,100.0
10,10000,normal,6.0,6.0,32.0,98.0,98.0,100.0,99.0
20,1000,gamma,13.0,12.0,40.0,96.0,96.0,100.0,99.0
20,1000,normal,12.0,12.0,47.0,98.0,97.0,100.0,98.0
20,2000,gamma,19.0,17.0,36.0,99.0,99.0,100.0,99.0
20,2000,normal,10.0,10.0,37.0,99.0,98.0,100.0,99.0
20,5000,gamma,15.0,15.0,42.0,100.0,99.0,100.0,100.0
20,5000,normal,11.0,10.0,34.0,99.0,99.0,100.0,100.0
20,10000,gamma,11.0,10.0,41.0,97.0,97.0,100.0,100.0
20,10000,normal,8.0,7.0,35.0,100.0,99.0,100.0,100.0
