k,p,scenario,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,38.0,38.0,2.0,2.0,2.0,2.0,2.0
0,2000,null,43.0,43.0,4.0,4.0,4.0,4.0,4.0
0,5000,null,44.0,44.0,1.0,1.0,1.0,1.0,1.0
0,10000,null,44.0,44.0,3.0,3.0,3.0,3.0,3.0
0,50000,null,44.0,44.0,2.0,3.0,3.0,3.0,3.0
10,1000,gamma,5.0,5.0,45.0,99.0,99.0,100.0,99.0
10,1000,normal,6.0,5.0,40.0,100.0,100.0,100.0,100.0
10,2000,gamma,10.0,10.0,42.0,98.0,97.0,100.0,99.0
10,2000,normal,8.0,8.0,34.0,100.0,100.0,100.0,100.0
10,5000,gamma,8.0,8.0,54.0,100.0,100.0,100.0,100.0
10,5000,normal,6.0,6.0,44.0,100.0,100.0,100.0,100.0
10,10000,gamma,12.0,11.0,52.0,98.0,99.0,100.0,100.0
10,10000,normal,6.0,6.0,48.0,100.0,100.0,100.0,100.0
20,1000,gamma,16.0,16.0,75.0,98.0,97.0,100.0,99.0
20,1000,normal,7.0,7.0,73.0,100.0,100.0,100.0,100.0
20,2000,gamma,12.0,10.0,70.0,99.0,98.0,100.0,100.0
20,2000,normal,16.0,14.0,72.0,98.0,100.0,100.0,100.0
20,5000,gamma,15.0,13.0,67.0,100.0,98.0,100.0,100.0
20,5000,normal,13.0,12.0,56.0,100.0,99.0,100.0,100.0
20,10000,gamma,17.0,15.0,53.0,99.0,96.0,100.0,99.0
20,10000,normal,13.0,12.0,53.0,96.0,96.0,100.0,97.0
