k,p,scenario,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10000,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1000,gamma,2.0,5.0,0.0,0.0,6.0,0.0,2.0
10,1000,normal,2.0,7.0,0.0,1.0,3.0,0.0,2.0
10,2000,gamma,4.0,4.0,0.0,1.0,2.0,0.0,2.0
10,2000,normal,2.0,4.0,0.0,1.0,4.0,0.0,2.0
10,5000,gamma,2.0,2.0,0.0,1.0,1.0,0.0,0.0
10,5000,normal,2.0,2.0,0.0,1.0,2.0,0.0,0.0
10,10000,gamma,1.0,2.0,0.0,1.0,6.0,0.0,0.0
10,10000,normal,1.0,3.0,0.0,0.0,4.0,0.0,1.0
20,1000,gamma,10.0,15.0,0.0,2.0,12.0,0.0,5.0
20,1000,normal,7.0,14.0,0.0,0.0,6.0,0.0,4.0
20,2000,gamma,6.0,14.0,0.0,2.0,10.0,0.0,4.0
20,2000,normal,8.0,14.0,0.0,1.0,9.0,0.0,5.0
20,5000,gamma,4.0,6.0,0.0,1.0,3.0,0.0,1.0
20,5000,normal,6.0,6.0,0.0,2.0,2.0,0.0,1.0
20,10000,gamma,6.0,14.0,0.0,4.0,7.0,0.0,1.0
20,10000,normal,8.0,11.0,0.0,3.0,7.0,0.0,2.0
