k,p,scenario,stepwise_plain,L0opt_CD,L0opt_CDPSI,GSDAR,lassonet,lassonet_plus,deep2stage,deep2stage_plus
0,1000,null,0.04,0.36,0.36,0.04,0.04,0.04,0.0,0.04
0,2000,null,0.05,0.47,0.47,0.05,0.05,0.05,0.0,0.05
0,5000,null,0.04,0.47,0.47,0.04,0.04,0.04,0.0,0.04
0,10000,null,0.01,0.4,0.4,0.01,0.01,0.01,0.0,0.01
10,1000,gamma,0.06902777777777777,0.06271825396825396,0.06080555555555556,0.17273348873348873,0.07960894660894662,0.06235714285714286,0.1716879509379509,0.07129004329004329
10,1000,normal,0.062400793650793644,0.05831349206349207,0.050043650793650786,0.14812842712842714,0.07472619047619047,0.0642063492063492,0.16085184552289816,0.0665079365079365
10,2000,gamma,0.05241269841269841,0.046163780663780664,0.044651875901875894,0.17591269841269838,0.047746031746031745,0.05166269841269842,0.2209917615064674,0.059496031746031755
10,2000,normal,0.03901190476190476,0.04562698412698413,0.037769841269841266,0.19839862914862916,0.044932539682539685,0.04182936507936508,0.23217910194380778,0.045718253968253963
10,5000,gamma,0.013444444444444446,0.018980158730158733,0.016123015873015872,0.05643362193362193,0.012722222222222222,0.013444444444444446,0.38102691099749925,0.013444444444444446
10,5000,normal,0.028547619047619047,0.030837301587301583,0.0329484126984127,0.05341666666666667,0.021357142857142856,0.029976190476190476,0.3262615301365301,0.028547619047619047
10,10000,gamma,0.04798088023088023,0.05056818181818182,0.05229834054834054,0.09461255411255412,0.046870573870573876,0.0560007215007215,0.23500023342670404,0.06285714285714286
10,10000,normal,0.05215476190476191,0.04242857142857143,0.04825,0.13493253968253968,0.04177380952380952,0.04691666666666666,0.36243217893217894,0.08171428571428571
20,1000,gamma,0.07215107115107115,0.08717576867576866,0.07441650016650017,0.1027622655122655,0.07400357975357975,0.07331870906870906,0.14760722997332903,0.06589513264513264
20,1000,normal,0.073501887001887,0.08458793983793983,0.07085503385503386,0.16947158397158393,0.08090881340881341,0.08143417693417693,0.16594352869352869,0.08321608946608947
20,2000,gamma,0.07947582972582973,0.0879545177045177,0.08343359418359418,0.11830189255189255,0.07437265512265513,0.0804083694083694,0.17258928571428567,0.07785678210678211
20,2000,normal,0.08754073704073706,0.08879531579531579,0.08158438783438784,0.15099206349206348,0.07687479187479188,0.08164965589965589,0.2255302475302475,0.09160858585858586
20,5000,gamma,0.017123598623598624,0.025195027195027194,0.026195027195027195,0.02526731601731601,0.02000419025419025,0.019552891552891555,0.1715059523809524,0.017585137085137086
20,5000,normal,0.029334415584415584,0.030250360750360753,0.03247258297258297,0.057520562770562764,0.03250036075036075,0.03222330447330447,0.2679272255522255,0.029829365079365077
20,10000,gamma,0.07873340548340549,0.07654689754689754,0.07867857142857143,0.10121428571428574,0.07276046176046176,0.0745151515151515,0.10723809523809523,0.0813181818181818
20,10000,normal,0.06604256854256854,0.07486291486291485,0.07070887445887446,0.1061547619047619,0.05301334776334777,0.06554625929625929,0.1604047619047619,0.06781898656898658
